,0
1002,1590
1003,1445
1004,1315
1005,1270
1006,1525
1007,1335
1008,1235
1009,1580
1010,1310
1011,1550
1012,1555
1013,1565
1014,1250
1015,1190
1016,1330
1017,1525
1018,1490
1019,1535
1020,1570
1021,1285
1022,1475
1023,1350
1024,1450
1025,1190
1026,1330
1027,1545
1028,1310
1029,1580
1030,1300
1031,1310
1032,2025
1033,1475
1034,1275
1035,1505
1036,2000
1037,1270
1038,1340
1039,1495
1040,1360
1041,1255
1042,1490
1043,1950
1044,1195
1045,1325
1046,1225
1047,1165
1048,1600
1049,1570
1050,1480
1051,1605
1052,1425
1053,1560
1054,1470
1055,1360
1056,1610
1057,1295
1058,1235
1059,1510
1060,1310
1061,1525
1062,1480
1063,1200
1064,1455
1065,1350
1066,1415
1067,1195
1068,1330
1069,1415
1070,1500
1071,1600
1072,1165
1073,1175
1074,1320
1075,1430
1076,1530
1077,1195
1078,1170
1079,1545
1080,1340
1081,1165
1082,1600
1083,1165
1084,1240
1085,1205
1086,1175
1087,1420
1088,1455
1089,1555
1090,1445
1091,1605
1092,1475
1093,1460
1094,1215
1095,1465
1096,1180
1097,1335
1098,1250
1099,1600
1100,1440
1101,1305
1102,1190
1103,1510
1104,1280
1105,1445
1106,1215
1107,1535
1108,1435
1109,1335
1110,1555
1111,1255
1112,1350
1113,1320
1114,1160
1115,1490
1116,1475
1117,1425
1118,1425
1119,1280
1120,1545
1121,1200
1122,1420
1123,1425
1124,1195
1125,1545
1126,1525
