,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
20,2,3,2,13,10,7,0,10,5,0,0,1,1,1,0,6,7,5,9,1,13,11,0,7,0,0,1,10,9,2,11,21,14,28,3,3,8,2,8,12,4,0,4,18,2,0,0,8,6,11,17,0,0,6,0,9,25,7,10,0,2,12,5,3,1,0,7,0,0,0,13,0,1,0,1,3,0,4,0,5,1,5,2,0,4,1,1,0,2,0,2,0,12,11,7,18,3,1,0,3,8,3,0,2,9,0,8,7,0,10,1,10,7,18,2,0,3,8,6,8,0,8,0,2,1,3,0,1,1,0,0,0,0,0,1,9,4,0,0,3,0,10,0,0,2,0,10,1,0,6,2,5,25,10,3,0,0,0,4,0,0,3,19,0,1,4,0,14,0,4,4,33,0,0,8,0,5,2,4,0,2,9,11,12,24,5,9,8,6,7
21,0,6,1,6,5,6,2,6,2,0,0,9,9,5,0,5,12,0,7,10,10,12,0,9,2,5,0,10,31,2,11,18,14,18,2,0,10,1,14,10,84,0,1,30,0,0,1,10,8,8,36,0,0,3,0,9,32,6,10,0,5,2,12,0,3,7,8,1,0,0,5,2,2,0,0,4,0,9,0,8,4,0,5,0,8,3,0,0,14,0,9,0,14,11,16,19,10,1,0,12,15,13,0,1,14,0,11,10,0,56,2,23,7,5,0,9,5,11,3,0,4,12,0,1,2,3,0,1,6,0,0,2,0,0,0,19,6,0,0,2,0,13,0,0,1,0,10,19,1,5,7,0,28,10,2,1,0,0,1,0,3,4,18,1,6,0,1,9,1,15,2,26,1,0,3,0,7,2,8,1,1,8,3,4,23,8,11,3,6,11
22,0,5,0,8,8,4,3,6,5,0,0,1,1,6,1,3,9,7,9,0,7,5,1,20,3,3,15,13,31,10,8,22,6,26,2,0,9,3,2,10,16,0,5,26,9,0,1,12,10,6,25,0,0,4,0,10,27,25,7,0,0,2,26,0,8,11,9,3,0,0,3,1,1,0,0,10,0,3,0,1,13,2,0,0,12,7,3,0,0,2,3,0,15,13,0,8,7,0,1,0,60,15,0,2,5,4,20,10,0,24,1,12,9,15,11,3,1,9,8,0,1,13,0,2,0,2,0,6,2,0,0,4,0,2,0,15,0,0,10,1,0,18,0,0,1,0,5,1,2,3,0,9,35,11,2,0,0,0,1,0,0,0,12,0,7,3,0,12,1,10,3,36,0,0,0,0,0,0,2,2,3,10,1,4,20,6,17,8,7,6
23,0,3,0,11,8,4,3,7,4,0,0,6,1,13,1,6,13,1,18,0,10,10,1,18,2,0,15,30,5,0,7,12,8,28,1,0,3,2,4,9,33,0,3,14,7,1,0,14,10,6,20,0,0,1,1,10,30,16,5,0,2,11,26,0,5,4,6,2,0,0,12,0,6,1,0,5,0,6,0,3,32,3,3,0,12,3,0,0,1,2,3,0,20,9,0,13,10,2,2,0,45,20,0,0,8,4,6,19,0,47,3,15,7,8,15,10,1,7,6,0,0,11,0,2,0,5,2,9,2,0,0,1,0,2,0,6,2,0,5,3,0,12,0,0,0,0,4,3,11,6,0,10,35,18,4,0,0,1,3,0,0,0,8,0,5,1,1,7,2,10,1,26,1,0,4,0,0,1,1,1,0,5,0,3,22,15,13,4,15,6
24,0,4,0,3,6,9,7,2,3,0,0,1,5,8,0,6,11,2,12,0,5,8,3,14,2,3,18,22,23,9,7,16,5,33,1,0,7,1,5,12,11,0,3,22,2,0,0,8,6,12,21,0,0,5,0,10,23,17,16,2,4,8,28,0,6,6,4,1,0,0,7,0,2,0,0,9,1,10,0,2,19,4,4,0,5,5,0,0,0,0,3,0,19,14,0,12,14,3,2,0,59,16,0,0,8,8,10,18,0,21,1,20,13,12,13,2,1,9,3,0,2,9,1,1,0,1,0,1,2,0,1,4,0,0,0,9,3,0,14,0,0,7,0,0,2,0,11,10,4,4,5,7,28,16,1,0,0,0,1,0,1,1,22,1,4,4,0,6,1,8,3,35,0,0,1,0,0,0,1,4,3,7,0,4,19,4,14,8,9,10
25,0,4,2,9,10,1,1,4,3,0,0,5,4,7,0,4,7,18,12,1,7,12,0,11,3,2,8,17,35,11,8,24,4,43,8,0,5,3,6,5,26,0,1,23,22,1,3,7,12,6,24,1,0,4,0,9,36,18,5,0,7,7,12,0,9,9,7,5,0,0,18,2,3,0,0,7,0,5,0,0,11,4,3,0,5,8,6,0,0,0,5,0,24,15,0,17,13,0,1,1,53,21,0,1,4,2,22,11,0,23,2,22,5,11,16,3,1,7,3,0,0,15,0,3,0,1,0,1,3,0,0,1,0,1,0,16,2,0,9,1,0,12,0,0,2,0,14,8,5,8,4,7,27,10,1,0,0,0,3,0,0,0,18,0,7,0,1,7,3,8,6,24,0,1,10,0,2,1,1,3,4,8,3,9,20,11,15,6,9,9
26,0,5,0,6,8,4,0,4,4,0,0,1,4,7,0,4,6,2,8,0,4,7,2,17,1,1,14,12,34,8,5,15,4,18,2,0,6,0,1,13,11,0,5,15,0,3,1,5,14,9,31,5,2,8,0,7,32,11,8,1,4,11,18,1,5,4,6,3,0,0,3,0,4,0,0,4,0,5,0,0,8,2,5,0,1,5,1,0,0,0,6,0,10,7,0,7,5,0,3,0,53,19,3,1,8,18,15,4,0,29,3,7,13,7,12,2,0,8,3,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,8,3,0,15,0,0,0,0,5,11,1,4,8,1,24,9,2,1,0,0,1,0,0,6,23,0,1,0,0,4,0,13,4,35,1,0,1,0,0,0,1,10,4,3,0,3,20,2,9,5,4,6
27,0,2,0,3,3,1,0,7,2,0,0,3,6,6,0,1,6,2,9,15,13,19,1,13,3,4,2,7,22,2,12,14,11,17,3,0,13,0,19,11,80,0,2,39,0,0,1,19,11,5,19,0,1,8,0,5,23,3,18,1,1,4,13,0,0,0,3,1,0,0,4,3,3,0,0,9,0,5,0,4,5,4,3,0,6,1,0,1,7,1,8,0,12,4,24,12,4,0,0,19,11,14,0,2,10,1,6,5,1,34,0,13,10,16,0,9,2,16,5,0,0,6,0,4,0,3,0,2,0,0,0,1,0,1,0,15,5,0,0,1,0,16,0,0,1,0,15,17,1,3,1,4,31,10,4,0,0,0,3,0,1,3,18,2,5,2,0,4,0,11,2,31,0,0,0,0,10,3,8,3,1,0,1,4,22,12,8,6,4,1
28,1,8,0,10,12,9,12,9,4,0,0,3,5,7,1,5,14,5,9,0,9,13,3,29,0,1,8,24,20,5,9,16,6,23,5,0,8,2,1,6,25,0,3,16,9,3,1,23,9,18,27,0,0,7,0,5,33,24,15,3,3,9,25,0,7,5,6,1,0,0,5,1,4,1,2,7,0,7,0,3,23,1,3,0,10,8,0,0,0,3,8,0,23,5,0,17,19,0,3,0,41,22,0,1,12,2,13,9,0,70,0,22,6,10,14,7,2,14,6,0,1,16,0,3,3,4,1,5,1,0,0,2,0,4,1,8,1,1,12,2,0,13,0,0,1,0,8,5,15,6,2,10,37,13,3,0,0,0,3,0,1,0,16,1,6,1,0,14,1,11,4,41,1,0,2,0,0,0,3,1,2,9,0,3,18,12,16,6,11,9
29,0,1,0,3,5,2,1,5,4,0,0,5,3,5,1,2,3,3,8,2,18,17,1,1,1,2,0,14,11,0,14,17,8,3,2,1,7,2,15,11,16,0,5,51,1,0,0,7,12,5,26,0,0,6,1,7,36,10,9,0,3,6,8,0,1,0,4,0,0,0,3,0,2,0,0,4,0,4,0,0,5,1,1,0,2,0,1,0,4,0,13,0,19,11,21,28,12,4,0,17,17,5,0,3,8,0,4,9,0,18,3,5,8,7,0,3,0,9,6,3,0,2,0,2,0,1,0,1,1,2,0,2,0,0,4,18,1,0,0,2,0,13,0,1,0,0,12,14,0,4,12,1,25,9,2,0,0,2,1,0,1,2,28,1,3,0,0,15,1,8,9,31,0,0,6,0,10,2,5,4,1,5,4,7,23,6,20,5,5,2
